Twin1 Twin2 Father Mother zyg
0.732 0.086 0.851 -0.177 dz
1.268 -0.47 NA NA dz
1.011 -1.555 NA NA dz
-0.391 0.359 NA NA dz
2.195 0.729 1.122 0.585 dz
0.242 -0.128 NA NA dz
1.111 0.191 0.093 -0.424 dz
-0.046 0.557 -0.384 0.621 dz
0.658 0.106 -0.227 -0.112 dz
-0.005 0.102 1.805 -0.493 dz
-0.634 0.945 0.61 -0.228 dz
-0.801 -0.591 -1.724 -0.505 dz
-0.506 -2.109 0.672 NA dz
0.928 -1.538 0.585 1.547 dz
-0.269 0.487 0.596 -0.81 dz
0.072 1.569 NA 0.513 dz
-0.665 2.185 0.332 0.955 dz
0.22 0.59 0.666 0.004 dz
1.016 NA NA NA dz
-1.436 -0.411 NA NA dz
NA 0.998 NA NA dz
NA 0.407 NA NA dz
-0.549 0.371 -1.545 -0.627 dz
0.016 0.773 -0.406 0.65 dz
2.438 2.255 0.692 1.553 dz
0.083 1.243 NA NA dz
-0.848 NA NA NA dz
0.658 0.499 NA 1.696 dz
-0.037 0.109 -1.354 0.139 dz
1.328 0.325 NA NA dz
-0.408 -0.575 NA NA dz
-0.216 0.157 -1.381 0.041 dz
1.598 0.002 -1.246 -0.558 dz
1.344 0.482 0.636 -1.072 dz
0.96 1.252 -0.257 0.015 dz
0.871 NA NA NA dz
-1.023 -1.713 NA NA dz
-2.575 -0.564 NA NA dz
-1.213 -1.339 -1.007 -0.164 dz
-0.733 -2.972 -0.737 -1.454 dz
0.758 0.815 1.46 2.812 dz
0.748 1.964 NA NA dz
-1.072 -1.313 1.108 -1.547 dz
0.706 -0.592 -1.36 NA dz
-1.47 -0.312 0.798 -0.215 dz
1.231 -0.74 0.779 -0.256 dz
1.051 0.054 1.141 -0.6 dz
0.512 0.62 -0.46 -1.551 dz
0.78 0.88 0.141 -0.694 dz
-0.104 0.679 NA NA dz
0.717 0.219 NA NA dz
-0.169 0.428 NA -1.481 dz
-0.074 0.358 NA NA dz
-0.001 0.475 -0.029 -0.037 dz
0.534 0.552 0.019 -0.257 dz
-1.077 NA NA NA dz
-0.701 -1.371 -1.681 NA dz
-0.743 -0.129 NA NA dz
-0.854 -0.498 NA -0.903 dz
-0.093 -0.089 NA NA dz
0.21 -0.517 NA -0.542 dz
0.687 -0.208 NA NA dz
1.7 -0.153 NA NA dz
0.75 0.46 -0.037 -1.02 dz
2.056 0.984 NA NA dz
-0.581 0.585 NA NA dz
0.424 1.088 -1.271 -0.92 dz
-1.819 -2.113 -0.744 0.006 dz
-1.987 -2.064 NA NA dz
-0.857 0.391 NA NA dz
0.02 1.982 NA 0.309 dz
0.078 0.297 NA NA dz
-0.601 0.761 NA NA dz
-0.634 -0.499 NA -2.242 dz
-0.033 -0.596 -1.362 -1.292 dz
-1.817 -2.117 -0.608 -2.529 dz
NA -0.807 NA NA dz
0.66 -0.799 NA NA dz
-0.366 -1.471 -0.437 -0.688 dz
-0.501 0.474 -1.244 -1.088 dz
-0.386 -0.281 -0.026 -0.045 dz
0.864 1.357 -0.467 1.84 dz
-1.322 0.551 -0.605 -1.703 dz
0.286 NA NA NA dz
0.294 0.445 0.755 1.525 dz
-0.147 0.4 0.871 1.527 dz
-0.107 -0.235 -0.152 0.937 dz
0.926 -0.276 1.28 1.544 dz
-0.624 -0.389 NA NA dz
0.838 0.234 NA NA dz
0.301 -0.401 0.128 -0.967 dz
-0.287 -1.747 -0.574 0.578 dz
1.296 1.384 1.815 0.992 dz
-0.631 1.406 NA NA dz
-0.709 1.188 0.728 -1.18 dz
-1.415 -0.972 -1.351 -1.038 dz
-1.045 0.318 -0.243 0.843 dz
0.093 0.303 NA NA dz
-0.447 1.213 -0.665 -0.024 dz
1.655 1.104 0.936 0.259 dz
-0.693 -0.737 NA -0.437 dz
-0.364 -1.15 -0.034 -0.876 dz
NA -1.156 NA NA dz
0.962 0.552 -0.171 1.637 dz
-1.373 -0.26 NA -0.311 dz
0.205 NA NA NA dz
-1.709 -0.603 NA NA dz
-0.435 -1.336 -0.636 0.068 dz
0.212 -0.417 2.308 0.537 dz
0.854 -0.861 NA 0.692 dz
-0.133 0.282 NA 1.288 dz
-1.022 -1.829 NA NA dz
0.497 NA NA NA dz
0.523 0.032 NA NA dz
-0.95 -1.22 -1.857 -1.122 dz
0.362 0.543 NA NA dz
-0.539 0.987 NA 1.199 dz
-1.325 -0.228 0.429 -1.846 dz
-1.911 0.983 NA NA dz
1.6 -0.542 NA NA dz
NA -0.027 NA NA dz
0.143 0.99 NA NA dz
-1.411 -1.058 NA -1.336 dz
-0.283 0.094 2.297 0.938 dz
NA -0.839 NA NA dz
0.889 -0.68 NA NA dz
1.234 0.849 0.701 -0.202 dz
0.313 -0.653 1.589 -2.908 dz
0.638 NA NA NA dz
1.021 1.179 NA NA dz
NA 0.038 NA NA dz
-0.059 1.735 0.251 NA dz
-2.091 -2.765 NA NA dz
-1.256 0.186 -0.632 -0.813 dz
0.014 0.684 -0.244 -0.529 dz
0.227 1.908 1.758 2.044 dz
0.546 -0.261 NA NA dz
-0.122 -1.791 -0.272 0.003 dz
0.483 0.236 -0.846 -0.292 dz
0.597 1.473 -0.383 0.117 dz
0.416 0.648 NA 1.068 dz
-0.386 0.311 NA NA dz
NA 0.264 NA NA dz
NA 0.352 NA NA dz
0.003 1.589 NA NA dz
-1.087 -0.167 NA 0.933 dz
-0.87 -0.665 NA NA dz
1.884 0.586 NA NA dz
-0.857 -0.439 NA NA dz
0.818 NA NA NA dz
1.49 0.378 1.012 0.303 dz
1.13 0.811 0.332 NA dz
0.477 -0.235 NA NA dz
-1.35 -1.139 NA NA dz
1.756 1.926 NA NA dz
-2.046 -1.985 NA 0.506 dz
1.031 0.467 -0.842 NA dz
1.776 1.066 NA -0.068 dz
-1.988 NA -1.666 NA dz
-0.315 -1.421 -0.182 NA dz
0.156 NA NA NA dz
0.246 -0.938 0.123 NA dz
-0.869 -1.112 NA -0.3 dz
0.348 1.723 NA 0.937 dz
-0.415 -0.405 NA 0.546 dz
-1.018 0.91 0.69 2.209 dz
-0.333 1.115 -0.545 -0.386 dz
-0.574 -0.841 NA NA dz
NA -1.165 NA NA dz
0.459 0.118 0.797 0.415 dz
-0.64 -0.741 NA NA dz
NA -0.431 NA NA dz
NA -0.58 NA NA dz
1.534 1.087 -0.573 -1.051 dz
1.01 -1.153 NA 0.888 dz
0.444 -0.77 0.556 NA dz
1.078 0.692 0.655 -0.478 dz
-1.467 -2.191 -0.041 -2.164 dz
1.454 -0.561 NA NA dz
-0.307 -0.207 -1.395 -0.264 dz
NA 0.365 NA NA dz
2.017 1.183 0.152 1.388 dz
0.643 -0.359 -0.409 -0.243 dz
-0.072 -0.805 NA NA dz
-0.658 -0.336 1.373 -0.483 dz
0.472 0.308 NA NA dz
0.487 0.664 NA NA dz
0.18 0.066 NA NA dz
-0.59 0.689 NA -0.589 dz
-0.954 -1.067 -0.481 0.669 dz
NA -0.164 NA NA dz
0.061 NA NA NA dz
0.777 1.946 NA NA dz
-3.581 -1.625 NA 1.021 dz
0.178 -0.326 0.005 0.445 dz
-0.869 NA NA NA dz
-1.299 -0.594 1.154 NA dz
0.905 -0.143 NA NA dz
1.312 0.938 NA NA dz
-0.466 -0.041 -0.681 0.584 dz
0.236 -0.38 NA NA dz
1.024 NA NA NA dz
-0.766 -2.073 NA 0.262 dz
1.031 -1.07 -1.135 0.727 dz
0.013 -1.2 -0.605 -1.059 dz
0.287 0.535 NA NA dz
0.69 -0.25 0.905 -0.543 dz
-0.664 -1.092 NA -0.64 dz
-1.018 -2.417 0.503 -0.856 dz
-0.443 -0.119 NA NA dz
-0.739 0.61 -0.707 2.046 dz
0.045 -0.548 NA NA dz
2.534 0.799 NA -0.089 dz
3.212 0.485 0.974 -0.953 dz
1.135 0.658 -0.938 NA dz
-0.628 -0.62 NA NA dz
-1.413 -0.879 -0.658 -1.331 dz
